courier_vendor,month,total_shipments,on_time_count,in_full_count,avg_delay_days,total_freight_usd,total_order_value,otif_pct,on_time_pct,cost_per_ship,invoiced_usd,invoice_variance_usd,sla_score
DHL Express,2024-01,125,115,125,0.3,5421.5,865950.8,92.0,92.0,43.37,5834.71,413.21,92.6
DHL Express,2024-02,112,99,112,0.7,4861.46,607417.32,88.4,88.4,43.41,5428.06,566.6,87.7
DHL Express,2024-03,119,100,119,1.0,4769.7,753515.42,84.0,84.0,40.08,5252.58,482.88,82.8
DHL Express,2024-04,107,88,107,1.2,4416.52,696081.58,82.2,82.2,41.28,4822.43,405.91,80.3
DHL Express,2024-05,106,93,106,0.7,4682.68,498032.32,87.7,87.7,44.18,4967.95,285.27,87.2
DHL Express,2024-06,107,95,107,0.7,4923.69,645699.41,88.8,88.8,46.02,5223.64,299.95,88.0
DHL Express,2024-07,133,117,133,0.5,6113.35,849329.49,88.0,88.0,45.97,6443.87,330.52,88.6
DHL Express,2024-08,127,117,127,0.7,5391.44,723135.71,92.1,92.1,42.45,5987.91,596.47,90.3
DHL Express,2024-09,147,129,147,0.7,6063.22,1005224.86,87.8,87.8,41.25,6621.51,558.29,87.3
DHL Express,2024-10,95,84,95,0.4,4022.41,656327.14,88.4,88.4,42.34,4422.9,400.49,89.5
DHL Express,2024-11,119,98,119,1.1,4837.18,809123.61,82.4,82.4,40.65,5086.01,248.83,81.1
DHL Express,2024-12,112,93,112,0.8,4570.11,601936.12,83.0,83.0,40.8,5108.9,538.79,83.3
FedEx,2024-01,129,110,129,0.7,5606.54,891961.47,85.3,85.3,43.46,6213.57,607.03,85.5
FedEx,2024-02,125,108,125,0.7,5528.1,787504.9,86.4,86.4,44.22,5886.67,358.57,86.3
FedEx,2024-03,141,123,141,0.6,5636.94,1012049.44,87.2,87.2,39.98,5990.53,353.59,87.4
FedEx,2024-04,112,97,112,0.8,4941.35,761022.8099999999,86.6,86.6,44.12,5251.86,310.51,85.8
FedEx,2024-05,125,114,125,0.7,5356.59,776080.63,91.2,91.2,42.85,5738.5,381.91,89.6
FedEx,2024-06,126,108,126,1.2,5469.32,831302.62,85.7,85.7,43.41,5943.69,474.37,82.8
FedEx,2024-07,133,116,133,0.6,5795.2699999999995,800303.69,87.2,87.2,43.57,6260.26,464.99,87.4
FedEx,2024-08,111,93,111,0.7,4214.59,483700.4,83.8,83.8,37.97,4511.24,296.65,84.5
FedEx,2024-09,111,98,111,0.5,4875.5,645020.39,88.3,88.3,43.92,5328.09,452.59,88.8
FedEx,2024-10,104,90,104,0.7,4587.42,658595.79,86.5,86.5,44.11,4861.59,274.17,86.4
FedEx,2024-11,107,97,107,0.5,4538.85,654601.8,90.7,90.7,42.42,4858.61,319.76,90.5
FedEx,2024-12,115,101,115,0.8,4713.22,685427.22,87.8,87.8,40.98,5069.75,356.53,86.7
J&T Express,2024-01,136,107,136,1.5,6111.0,863327.57,78.7,78.7,44.93,6611.64,500.64,76.1
J&T Express,2024-02,128,98,128,0.8,5340.12,730958.25,76.6,76.6,41.72,5900.63,560.51,78.8
J&T Express,2024-03,112,84,112,1.5,4826.7300000000005,587392.39,75.0,75.0,43.1,5135.53,308.8,73.5
J&T Express,2024-04,125,101,125,1.0,5652.29,790857.26,80.8,80.8,45.22,6138.37,486.08,80.6
J&T Express,2024-05,136,103,136,1.5,6114.15,919815.87,75.7,75.7,44.96,6673.41,559.26,74.0
J&T Express,2024-06,134,107,134,0.6,5555.56,790203.98,79.9,79.9,41.46,5851.4,295.84,82.3
J&T Express,2024-07,119,93,119,1.3,5395.82,695967.55,78.2,78.2,45.34,5895.09,499.27,76.9
J&T Express,2024-08,94,72,94,0.9,4050.1,625233.49,76.6,76.6,43.09,4300.95,250.85,78.2
J&T Express,2024-09,128,113,128,0.5,5426.8,806161.74,88.3,88.3,42.4,5722.85,296.05,88.8
J&T Express,2024-10,133,100,133,1.2,6022.71,791731.47,75.2,75.2,45.28,6723.89,701.18,75.4
J&T Express,2024-11,99,72,99,1.6,4235.39,668490.73,72.7,72.7,42.78,4733.45,498.06,71.3
J&T Express,2024-12,144,116,144,0.9,6094.05,902216.97,80.6,80.6,42.32,6743.6,649.55,81.0
Kerry Logistics,2024-01,127,107,127,1.0,5139.95,785493.92,84.3,84.3,40.47,5506.55,366.6,83.0
Kerry Logistics,2024-02,112,94,112,0.7,4674.91,703360.67,83.9,83.9,41.74,4940.62,265.71,84.5
Kerry Logistics,2024-03,105,87,105,1.0,4466.74,648177.1,82.9,82.9,42.54,4904.02,437.28,82.0
Kerry Logistics,2024-04,104,88,104,0.8,3966.31,507526.62,84.6,84.6,38.14,4286.83,320.52,84.4
Kerry Logistics,2024-05,124,98,124,1.1,4951.12,847119.81,79.0,79.0,39.93,5240.97,289.85,78.7
Kerry Logistics,2024-06,116,101,116,0.4,5167.67,735570.24,87.1,87.1,44.55,5605.18,437.51,88.6
Kerry Logistics,2024-07,126,107,126,0.9,5682.43,803359.2,84.9,84.9,45.1,5980.23,297.8,84.0
Kerry Logistics,2024-08,117,90,117,1.2,4745.93,695856.79,76.9,76.9,40.56,5285.32,539.39,76.6
Kerry Logistics,2024-09,119,108,119,0.7,5128.16,660049.13,90.8,90.8,43.09,5477.46,349.3,89.4
Kerry Logistics,2024-10,128,113,128,0.8,5283.56,907529.64,88.3,88.3,41.28,5792.77,509.21,87.0
Kerry Logistics,2024-11,128,105,128,1.0,5176.8,760690.25,82.0,82.0,40.44,5548.6,371.8,81.4
Kerry Logistics,2024-12,126,105,126,0.7,4839.48,743750.2,83.3,83.3,38.41,5257.63,418.15,84.1
Ninja Van,2024-01,146,125,146,0.4,6073.7699999999995,883879.62,85.6,85.6,41.6,6609.9,536.13,87.5
Ninja Van,2024-02,119,93,119,0.9,4584.72,594453.66,78.2,78.2,38.53,4873.28,288.56,79.3
Ninja Van,2024-03,140,106,140,1.5,6126.62,833120.05,75.7,75.7,43.76,6848.77,722.15,74.0
Ninja Van,2024-04,136,115,136,0.6,5941.48,840610.85,84.6,84.6,43.69,6560.93,619.45,85.6
Ninja Van,2024-05,115,98,115,0.9,5323.4,789270.84,85.2,85.2,46.29,5939.66,616.26,84.2
Ninja Van,2024-06,110,90,110,0.9,4809.87,660855.42,81.8,81.8,43.73,5351.64,541.77,81.9
Ninja Van,2024-07,117,97,117,1.1,5145.08,802203.16,82.9,82.9,43.98,5617.67,472.59,81.4
Ninja Van,2024-08,127,104,127,1.0,5474.86,812224.8,81.9,81.9,43.11,6101.9,627.04,81.3
Ninja Van,2024-09,142,117,142,0.7,6071.82,794924.01,82.4,82.4,42.76,6413.02,341.2,83.5
Ninja Van,2024-10,113,95,113,1.1,4549.99,643585.53,84.1,84.1,40.27,4839.91,289.92,82.3
Ninja Van,2024-11,114,97,114,0.6,5122.77,648642.43,85.1,85.1,44.94,5395.13,272.36,86.0
Ninja Van,2024-12,111,91,111,0.7,4730.94,577694.47,82.0,82.0,42.62,5075.23,344.29,83.2
SF Express,2024-01,129,104,129,1.3,6013.17,875277.22,80.6,80.6,46.61,6477.43,464.26,78.6
SF Express,2024-02,129,102,129,1.3,5875.09,748927.39,79.1,79.1,45.54,6280.44,405.35,77.6
SF Express,2024-03,126,109,126,0.6,5290.32,671933.26,86.5,86.5,41.99,5861.74,571.42,86.9
SF Express,2024-04,108,90,108,1.1,4623.57,559663.94,83.3,83.3,42.81,4970.21,346.64,81.7
SF Express,2024-05,114,95,114,1.0,4704.99,713433.1,83.3,83.3,41.27,5032.77,327.78,82.3
SF Express,2024-06,105,82,105,1.2,4532.08,563093.44,78.1,78.1,43.16,4930.85,398.77,77.5
SF Express,2024-07,127,102,127,1.1,5597.14,687692.36,80.3,80.3,44.07,5932.21,335.07,79.6
SF Express,2024-08,138,110,138,1.1,5607.92,783926.04,79.7,79.7,40.64,6203.22,595.3,79.2
SF Express,2024-09,136,111,136,1.2,5567.86,1064306.8599999999,81.6,81.6,40.94,5875.31,307.45,79.9
SF Express,2024-10,120,100,120,1.0,5446.58,675931.88,83.3,83.3,45.39,6095.17,648.59,82.3
SF Express,2024-11,124,101,124,1.3,5467.97,759077.22,81.5,81.5,44.1,6036.95,568.98,79.2
SF Express,2024-12,121,98,121,1.1,5097.23,738581.07,81.0,81.0,42.13,5422.99,325.76,80.1
SingPost,2024-01,112,76,112,1.9,4709.53,629766.52,67.9,67.9,42.05,4946.83,237.3,66.1
SingPost,2024-02,125,97,125,1.1,5419.97,676095.32,77.6,77.6,43.36,6000.35,580.38,77.7
SingPost,2024-03,132,92,132,1.5,5303.11,873062.88,69.7,69.7,40.18,5830.66,527.55,69.8
SingPost,2024-04,113,92,113,1.0,5040.94,656460.0,81.4,81.4,44.61,5550.23,509.29,81.0
SingPost,2024-05,132,99,132,1.1,5360.33,816494.49,75.0,75.0,40.61,5917.74,557.41,75.9
SingPost,2024-06,123,94,123,1.3,5635.0599999999995,853613.28,76.4,76.4,45.81,5946.02,310.96,75.7
SingPost,2024-07,124,94,124,1.3,5319.62,681018.24,75.8,75.8,42.9,5719.08,399.46,75.3
SingPost,2024-08,120,86,120,1.4,4834.17,702187.96,71.7,71.7,40.28,5115.09,280.92,71.8
SingPost,2024-09,136,95,136,1.5,5984.3,920683.52,69.9,69.9,44.0,6645.07,660.77,69.9
